mode,overlay,protocol,depth,fanout,ctas,metric,value,res_span_us,gemm_span_us,concurrent_gemm_tflops,gemm_slowdown,rounds,checksum_ok,payload_granularity
a,isolated,False,,,32,TFLOPS,81.49107775406402,72600.80670296896,72600.80670296896,,,380,,fine
a,isolated,False,,,64,TFLOPS,162.84171381657845,36331.71081801548,36331.71081801548,,,190,,fine
a,isolated,False,,,96,TFLOPS,242.9135033694501,24355.65486751503,24355.65486751503,,,127,,fine
a,isolated,False,,,128,TFLOPS,323.43038073964453,18292.403748101806,18292.403748101806,,,95,,fine
a,isolated,False,,,160,TFLOPS,400.0753452413659,14788.012884353424,14788.012884353424,,,76,,fine
a,isolated,False,,,192,TFLOPS,446.6226885828622,13246.823259731504,13246.823259731504,,,64,,fine
a,isolated,False,,,224,TFLOPS,493.52930589490825,11987.801890305453,11987.801890305453,,,55,,fine
a,isolated,False,,,256,TFLOPS,529.3217793043217,11177.166607989171,11177.166607989171,,,48,,fine
a,isolated,False,,,288,TFLOPS,557.4083782764833,10613.973108385117,10613.973108385117,,,43,,fine
a,isolated,False,,,304,TFLOPS,582.3644131977609,10159.210224249331,10159.210224249331,,,40,,fine
b,concurrent,False,,,8,GBps,222.91635994765977,268244.493823542,268453.2687544763,592.3002148301038,1.019234503818636,6336,,fine
b,concurrent,False,,,16,GBps,414.68683980720925,144196.90692356578,144401.59107904934,569.0418738791152,1.0396700194121544,3168,,fine
b,concurrent,False,,,32,GBps,803.2470764953707,74441.07913716235,74672.00240871048,515.1196152792511,1.1016899818863146,1584,,fine
b,concurrent,False,,,64,GBps,1564.2081692188585,38226.47177962691,38458.23225644498,398.9905021282656,1.3030523757489734,792,,fine
b,concurrent,False,,,128,GBps,2800.342582847936,21352.449168138974,21556.170788222378,219.80478233517277,1.9187019724500203,396,,fine
b,concurrent,False,,,256,GBps,3679.0178262537447,16252.741103125696,16486.02559432734,33.776110259154514,3.5843288538068276,198,,fine
b,isolated,False,,,8,GBps,263.79824191787293,226677.2271057563,0.0,,,6336,,fine
b,isolated,False,,,16,GBps,523.6559784421045,114188.17136043812,0.0,,,3168,,fine
b,isolated,False,,,32,GBps,1052.680226792941,56801.68045998615,0.0,,,1584,,fine
b,isolated,False,,,64,GBps,2154.1923940984075,27757.03940383142,0.0,,,792,,fine
b,isolated,False,,,128,GBps,3337.4603772828596,17916.468502674375,0.0,,,396,,fine
b,isolated,False,,,256,GBps,3756.185603826308,15918.946860686214,0.0,,,198,,fine
b,isolated,False,,,304,GBps,4593.195054833905,13017.960415524312,0.0,,,167,,fine
b,reserve_control,False,,,8,TFLOPS,603.6928155740322,268249.0408006667,268469.9276353862,603.6928155740322,,6336,,fine
b,reserve_control,False,,,16,TFLOPS,591.6157760622284,144201.56920441028,144425.60433200106,591.6157760622284,,3168,,fine
b,reserve_control,False,,,32,TFLOPS,567.5021196262835,74445.68627274953,74661.82058893074,567.5021196262835,,1584,,fine
b,reserve_control,False,,,64,TFLOPS,519.9055216995123,38230.9686246995,38435.10132761006,519.9055216995123,,792,,fine
b,reserve_control,False,,,128,TFLOPS,421.73986942044337,21356.189019224985,21545.74332138739,421.73986942044337,,396,,fine
b,reserve_control,False,,,256,TFLOPS,121.06468657124833,16256.470927801289,16400.846224619017,121.06468657124833,,198,,fine
c,concurrent,False,0,rr7,1,GBps,26.69704748824587,20109.770847694683,20344.60441930595,568.861236116405,1.0099678044443334,32768,True,fine
c,concurrent,False,0,rr7,2,GBps,51.21981308267204,10481.709715352647,10697.768833455722,552.0657471808825,1.0082042090933063,16384,True,fine
c,concurrent,False,0,rr7,4,GBps,103.74780963162306,5174.871050713758,5420.287498521496,538.4571306670656,1.0452808123132722,8192,True,fine
c,concurrent,False,0,rr7,8,GBps,195.71433669235006,2743.14066594724,2860.108769886655,504.19063891703195,1.115318600580871,4096,True,fine
c,concurrent,False,0,rr7,16,GBps,371.0591111802604,1446.861155406935,1584.0675687756068,455.1997718418814,1.2210343158705932,2048,True,fine
c,concurrent,False,0,rr7,32,GBps,384.1178745568976,1397.7016651262088,1670.5603982487223,159.93315189467768,3.319840613142879,1024,True,fine
c,concurrent,False,0,rr7,64,GBps,393.1353101528945,1365.7073894815428,1712.5008730283018,73.08722650366218,6.861539948773278,512,True,fine
c,concurrent,True,0,rr7,1,GBps,12.460044129933697,43087.67660681584,43323.5529251106,576.3390130304413,0.9968638608256584,32768,True,fine
c,concurrent,True,0,rr7,2,GBps,23.110583026566452,23230.531196019623,23446.505089634138,553.0038441969709,1.0064939255752383,16384,True,fine
c,concurrent,True,0,rr7,4,GBps,45.79898348849835,11722.332621661195,11945.06431589762,530.5007339756025,1.0609578288829071,8192,True,fine
c,concurrent,True,0,rr7,8,GBps,87.92653163452817,6105.9034693324975,6314.893968090698,472.0080709425704,1.191363522026171,4096,True,fine
c,concurrent,True,0,rr7,16,GBps,168.6765585726535,3182.8488948400095,3395.995340716579,410.03716128603435,1.3555223635149396,2048,True,fine
c,concurrent,True,0,rr7,32,GBps,237.6324356191136,2259.2811387776646,2476.8592580591044,260.1907395361061,2.040628248317119,1024,True,fine
c,concurrent,True,0,rr7,64,GBps,261.13921808549776,2055.880363827643,2149.3666145674947,108.65491621662535,4.615446238991124,512,True,fine
c,isolated,False,0,rr7,1,GBps,36.101209526129836,14871.27219646665,0.0,,,32768,True,fine
c,isolated,False,0,rr7,2,GBps,72.01951029806618,7454.520842256117,0.0,,,16384,True,fine
c,isolated,False,0,rr7,4,GBps,143.7783160002934,3734.0207283525697,0.0,,,8192,True,fine
c,isolated,False,0,rr7,8,GBps,286.61330068425355,1873.1590603652826,0.0,,,4096,True,fine
c,isolated,False,0,rr7,16,GBps,387.6074231845747,1385.1435860773388,0.0,,,2048,True,fine
c,isolated,False,0,rr7,32,GBps,392.33166505115554,1368.4295599101004,0.0,,,1024,True,fine
c,isolated,False,0,rr7,64,GBps,403.17946510351027,1331.8682543199168,0.0,,,512,True,fine
c,isolated,True,0,rr7,1,GBps,16.903151361335347,31761.602764499887,0.0,,,32768,True,fine
c,isolated,True,0,rr7,2,GBps,33.34900273985369,16098.585042944958,0.0,,,16384,True,fine
c,isolated,True,0,rr7,4,GBps,65.00569912519853,8258.829459598473,0.0,,,8192,True,fine
c,isolated,True,0,rr7,8,GBps,111.83552288833857,4800.545044158459,0.0,,,4096,True,fine
c,isolated,True,0,rr7,16,GBps,170.5978949923204,3147.2501246499796,0.0,,,2048,True,fine
c,isolated,True,0,rr7,32,GBps,231.03700433553357,2323.745944561864,0.0,,,1024,True,fine
c,isolated,True,0,rr7,64,GBps,265.53411555653656,2021.9008589201621,0.0,,,512,True,fine
c,concurrent,False,1,rr7,1,GBps,15.476812543121094,34689.394817915,34918.25766212219,580.7440834509113,0.9893024312188946,32768,True,fine
c,concurrent,False,1,rr7,2,GBps,29.952443214555352,17924.153746259974,18160.17043430059,564.8077560852838,0.9854592186583979,16384,True,fine
c,concurrent,False,1,rr7,4,GBps,57.69964161910656,9304.604119043775,9535.46723212941,541.5276375130768,1.0393539829736809,8192,True,fine
c,concurrent,False,1,rr7,8,GBps,114.2536880474733,4699.017612263164,4943.311102104056,524.4040670652689,1.0723280636817214,4096,True,fine
c,concurrent,False,1,rr7,16,GBps,213.89950672481143,2509.921346413315,2624.1823195398,483.8111598377582,1.148825385056825,2048,True,fine
c,concurrent,False,1,rr7,32,GBps,323.40236735016174,1660.0727729512228,1841.059507411225,367.96961621214945,1.4429250396092057,1024,True,fine
c,concurrent,False,1,rr7,64,GBps,324.60826080910704,1653.9115437492023,1841.3201940820995,145.6887495181153,3.4422076245328923,512,True,fine
c,concurrent,True,1,rr7,1,GBps,9.002685772605606,59634.94351597791,59853.84512143456,586.0137132021566,0.9804062955021319,32768,True,fine
c,concurrent,True,1,rr7,2,GBps,17.31657986495896,31003.325397387758,31229.89219360917,569.4008872686395,0.9775099098878098,16384,True,fine
c,concurrent,True,1,rr7,4,GBps,32.9554738713103,16290.796343868202,16512.06919538877,529.3744025308438,1.0632151918353294,8192,True,fine
c,concurrent,True,1,rr7,8,GBps,65.82864158821417,8155.597537932074,8358.97826006126,486.83308312985866,1.1550841906792142,4096,True,fine
c,concurrent,True,1,rr7,16,GBps,108.64335907052026,4941.591572717324,5168.459161251281,432.3440180744856,1.2855839765536996,2048,True,fine
c,concurrent,True,1,rr7,32,GBps,193.788612069205,2770.3974626692784,2962.6639088498223,375.66605490333416,1.4133631881765945,1024,True,fine
c,concurrent,True,1,rr7,64,GBps,230.77739379078474,2326.412969733121,2481.165601333747,189.51869954512978,2.646128986762596,512,True,fine
c,isolated,False,1,rr7,1,GBps,21.326345314535583,25174.070644315878,0.0,,,32768,True,fine
c,isolated,False,1,rr7,2,GBps,42.616933317605145,12597.603158738782,0.0,,,16384,True,fine
c,isolated,False,1,rr7,4,GBps,84.52035777737007,6351.971633817422,0.0,,,8192,True,fine
c,isolated,False,1,rr7,8,GBps,167.90116362010167,3197.542599307969,0.0,,,4096,True,fine
c,isolated,False,1,rr7,16,GBps,334.030105906687,1607.253642867832,0.0,,,2048,True,fine
c,isolated,False,1,rr7,32,GBps,332.7406591583456,1613.4850569427801,0.0,,,1024,True,fine
c,isolated,False,1,rr7,64,GBps,329.7314809905238,1628.2489462836675,0.0,,,512,True,fine
c,isolated,True,1,rr7,1,GBps,12.329286702934272,43544.43975983007,0.0,,,32768,True,fine
c,isolated,True,1,rr7,2,GBps,24.614503865883613,21811.3529597775,0.0,,,16384,True,fine
c,isolated,True,1,rr7,4,GBps,48.82356113729219,10996.144781092706,0.0,,,8192,True,fine
c,isolated,True,1,rr7,8,GBps,92.3157109909647,5815.598782082212,0.0,,,4096,True,fine
c,isolated,True,1,rr7,16,GBps,146.46503984738803,3665.5503716062763,0.0,,,2048,True,fine
c,isolated,True,1,rr7,32,GBps,206.21722622670626,2603.427649974003,0.0,,,1024,True,fine
c,isolated,True,1,rr7,64,GBps,233.95841140459837,2294.79468447914,0.0,,,512,True,fine
c,concurrent,False,4,rr7,1,GBps,21.20802621730516,25314.640918379875,25510.727426929778,572.1976200466978,1.004078859375694,32768,True,fine
c,concurrent,False,4,rr7,2,GBps,40.04522852486308,13406.614162567306,13636.855638207006,551.369679283494,1.0094770004895866,16384,True,fine
c,concurrent,False,4,rr7,4,GBps,78.07598830960377,6876.337859076766,7077.452612451423,534.5112689845465,1.0529972698401922,8192,True,fine
c,concurrent,False,4,rr7,8,GBps,158.63251377783178,3384.369717836607,3574.415314109506,523.779278056759,1.073607187953668,4096,True,fine
c,concurrent,False,4,rr7,16,GBps,294.0484965456086,1825.804323959843,2060.9787935253285,475.92106336874133,1.1678712811346184,2048,True,fine
c,concurrent,False,4,rr7,32,GBps,327.5966647366493,1638.8167828645128,1829.819901332356,225.85214561879897,2.3508856716555617,1024,True,fine
c,concurrent,False,4,rr7,64,GBps,323.5879908094281,1659.1252771666973,1852.7653415745428,125.8713663036556,3.9841541339124613,512,True,fine
c,concurrent,True,4,rr7,1,GBps,11.301901626224026,47502.70617039222,47706.407737654794,581.4736784990375,0.9880611193906795,32768,True,fine
c,concurrent,True,4,rr7,2,GBps,21.25876210933326,25254.101452274423,25470.867432311985,564.5551878606784,0.9859000890828125,16384,True,fine
c,concurrent,True,4,rr7,4,GBps,41.21566077836345,13025.896319370366,13225.772811058368,532.3525821379428,1.057267168084669,8192,True,fine
c,concurrent,True,4,rr7,8,GBps,79.44067724454075,6758.201678323623,6950.16231898641,477.8755015843075,1.1767357731430217,4096,True,fine
c,concurrent,True,4,rr7,16,GBps,138.86355630112755,3866.7302966486527,4080.23268009507,404.6087318661165,1.373708717139893,2048,True,fine
c,concurrent,True,4,rr7,32,GBps,223.28934360227137,2404.3733239402973,2506.8382252097003,264.4864492260855,2.00748497551206,1024,True,fine
c,concurrent,True,4,rr7,64,GBps,248.5201543882763,2160.2853755129795,2357.7404890849725,139.58476300739053,3.5927340033049804,512,True,fine
c,isolated,False,4,rr7,1,GBps,29.011558669317175,18505.424863848148,0.0,,,32768,True,fine
c,isolated,False,4,rr7,2,GBps,57.932206372222495,9267.235687414923,0.0,,,16384,True,fine
c,isolated,False,4,rr7,4,GBps,115.50122570998732,4648.183711442587,0.0,,,8192,True,fine
c,isolated,False,4,rr7,8,GBps,230.2599557327179,2331.586597508943,0.0,,,4096,True,fine
c,isolated,False,4,rr7,16,GBps,358.0458854853681,1499.449678050706,0.0,,,2048,True,fine
c,isolated,False,4,rr7,32,GBps,329.0670439994672,1631.5025164643926,0.0,,,1024,True,fine
c,isolated,False,4,rr7,64,GBps,324.91706708658523,1652.4125953916725,0.0,,,512,True,fine
c,isolated,True,4,rr7,1,GBps,15.449329049923705,34750.435604541366,0.0,,,32768,True,fine
c,isolated,True,4,rr7,2,GBps,30.654065685495723,17513.85799232917,0.0,,,16384,True,fine
c,isolated,True,4,rr7,4,GBps,60.004771228083776,8947.142534811988,0.0,,,8192,True,fine
c,isolated,True,4,rr7,8,GBps,104.67318731559318,5129.225817284631,0.0,,,4096,True,fine
c,isolated,True,4,rr7,16,GBps,161.18361936593598,3331.00916159063,0.0,,,2048,True,fine
c,isolated,True,4,rr7,32,GBps,227.9488537628692,2355.233886480408,0.0,,,1024,True,fine
c,isolated,True,4,rr7,64,GBps,254.9833863356943,2105.6063462970014,0.0,,,512,True,fine
c,concurrent,False,8,rr7,1,GBps,22.537166183844263,23821.62819581769,24051.212941575,573.9160446310407,1.0010724374212785,32768,True,fine
c,concurrent,False,8,rr7,2,GBps,43.02198932677186,12478.990723490775,12719.709798017557,554.1708729637321,1.0043743494263968,16384,True,fine
c,concurrent,False,8,rr7,4,GBps,81.88160292842099,6556.781119431208,6807.5867628387605,510.5753721796709,1.102362036258736,8192,True,fine
c,concurrent,False,8,rr7,8,GBps,155.07451813460744,3462.019253320818,3656.626866334025,473.72384790168087,1.187048531151062,4096,True,fine
c,concurrent,False,8,rr7,16,GBps,316.07165128178065,1698.5892285729667,1773.7672538890763,473.9886076046839,1.1726327027230206,2048,True,fine
c,concurrent,False,8,rr7,32,GBps,329.03990402769205,1631.63285979983,1838.3924822399679,221.0360493575008,2.4021085003611526,1024,True,fine
c,concurrent,False,8,rr7,64,GBps,328.47004502384243,1634.460307537779,1848.6545133030565,126.35519525367337,3.9688983376830316,512,True,fine
c,concurrent,True,8,rr7,1,GBps,11.62171332551829,46195.56304416373,46418.29473840016,581.4359287745759,0.9881252692533941,32768,True,fine
c,concurrent,True,8,rr7,2,GBps,21.93498900992693,24475.550683296573,24687.037758248924,566.0744856135418,0.9832540136493509,16384,True,fine
c,concurrent,True,8,rr7,4,GBps,42.811797408082086,12540.257104351549,12783.202041991186,528.5527302291385,1.0648680344448163,8192,True,fine
c,concurrent,True,8,rr7,8,GBps,82.74548393737355,6488.265643838033,6689.741347987748,492.4579210066311,1.1418908577477167,4096,True,fine
c,concurrent,True,8,rr7,16,GBps,156.28097789756373,3435.293856350947,3648.330011712915,420.0828555287511,1.3231069411195264,2048,True,fine
c,concurrent,True,8,rr7,32,GBps,235.49927924948463,2279.7249896204958,2469.8307443559047,267.9107677440717,1.9818261786144609,1024,True,fine
c,concurrent,True,8,rr7,64,GBps,258.0428464876636,2080.5754126878164,2150.073476501982,109.3968420691611,4.5841444315446935,512,True,fine
c,isolated,False,8,rr7,1,GBps,30.932186815272196,17356.39822991561,0.0,,,32768,True,fine
c,isolated,False,8,rr7,2,GBps,61.73942557428451,8695.755359600178,0.0,,,16384,True,fine
c,isolated,False,8,rr7,4,GBps,123.22763992520986,4356.7410266098295,0.0,,,8192,True,fine
c,isolated,False,8,rr7,8,GBps,245.89645746634528,2183.321053448931,0.0,,,4096,True,fine
c,isolated,False,8,rr7,16,GBps,358.2706311287036,1498.5372747026445,0.0,,,2048,True,fine
c,isolated,False,8,rr7,32,GBps,328.0612020217885,1636.5257480839405,0.0,,,1024,True,fine
c,isolated,False,8,rr7,64,GBps,326.90172513878315,1642.300960484858,0.0,,,512,True,fine
c,isolated,True,8,rr7,1,GBps,15.84343745514828,33886.01865674154,0.0,,,32768,True,fine
c,isolated,True,8,rr7,2,GBps,31.256523804358192,17176.283793161998,0.0,,,16384,True,fine
c,isolated,True,8,rr7,4,GBps,61.178251319360385,8775.520467682642,0.0,,,8192,True,fine
c,isolated,True,8,rr7,8,GBps,105.91936489355814,5068.686351179182,0.0,,,4096,True,fine
c,isolated,True,8,rr7,16,GBps,165.25385418164015,3248.7976093661114,0.0,,,2048,True,fine
c,isolated,True,8,rr7,32,GBps,242.42999674846527,2214.5633483122274,0.0,,,1024,True,fine
c,isolated,True,8,rr7,64,GBps,265.0290768499109,2025.7108948791006,0.0,,,512,True,fine
c,concurrent,False,0,single,1,GBps,28.150271615562247,19071.656365808936,19303.737687760386,579.0148469758087,0.9922569976827884,32768,True,fine
c,concurrent,False,0,single,2,GBps,54.23345317832964,9899.330679413255,10142.711765906086,565.3756014764909,0.9844694545545414,16384,True,fine
c,concurrent,False,0,single,4,GBps,60.44199164811931,8882.447121588168,9246.415846181408,435.8728128847916,1.2912916114552702,8192,True,fine
c,concurrent,False,0,single,8,GBps,54.61450392134686,9830.193566374146,10181.042732935093,205.29197386906793,2.7391874471505977,4096,True,fine
c,concurrent,False,0,single,16,GBps,54.39469674564546,9869.913191246082,10905.405766807458,128.9580714359386,4.310040742750322,2048,True,fine
c,concurrent,False,0,single,32,GBps,53.85425929357809,9968.969112973276,10955.001405941379,100.66668371687257,5.274362415088755,1024,True,fine
c,concurrent,False,0,single,64,GBps,53.890988399820905,9962.181233120114,10936.663101286382,82.6805633647771,6.065402846705327,512,True,fine
c,concurrent,True,0,single,1,GBps,11.700527675912792,45884.60395145183,46066.93422490788,586.9444061873642,0.9788517065968483,32768,True,fine
c,concurrent,True,0,single,2,GBps,19.07892839029963,28139.54194808281,28357.280489930945,552.262146968197,1.0078456636211557,16384,True,fine
c,concurrent,True,0,single,4,GBps,37.65307854213704,14258.919206581872,14476.823184201903,498.6173828910263,1.1287992080744473,8192,True,fine
c,concurrent,True,0,single,8,GBps,48.524621560676685,11063.97344757223,11258.129872116617,262.65836082490284,2.14093012709308,4096,True,fine
c,concurrent,True,0,single,16,GBps,48.29739956554592,11115.94033277007,11318.157991290736,158.03244921616403,3.5170912350737105,2048,True,fine
c,concurrent,True,0,single,32,GBps,48.49823350748004,11069.914095745049,11256.39530311426,93.68804611177885,5.667239259258566,1024,True,fine
c,concurrent,True,0,single,64,GBps,48.48287525229999,11073.413312981022,11246.800028343985,69.11211401678617,7.25619425095455,512,True,fine
c,isolated,False,0,single,1,GBps,36.28731740945352,14795.011318825369,0.0,,,32768,True,fine
c,isolated,False,0,single,2,GBps,61.05349302654142,8793.457715920908,0.0,,,16384,True,fine
c,isolated,False,0,single,4,GBps,61.98190880911784,8661.735749051022,0.0,,,8192,True,fine
c,isolated,False,0,single,8,GBps,54.836125606690715,9790.483967912629,0.0,,,4096,True,fine
c,isolated,False,0,single,16,GBps,55.26457572083734,9714.55897502036,0.0,,,2048,True,fine
c,isolated,False,0,single,32,GBps,54.698515896571635,9815.103818694666,0.0,,,1024,True,fine
c,isolated,False,0,single,64,GBps,54.080857650463884,9927.264258838526,0.0,,,512,True,fine
c,isolated,True,0,single,1,GBps,14.295671737799221,37554.962968274405,0.0,,,32768,True,fine
