arm,bin_index,t_us_start,t_us_end,mfma_frac,mfma_denominator,hbm_gbs,xgmi_gbs,tflops
ours,0,0.0,10.0,0.817953,272,2842.811,0.0,357.496
ours,1,10.0,20.0,1.0,272,3474.625,0.0,436.949
ours,2,20.0,30.0,1.0,272,3474.625,0.0,436.949
ours,3,30.0,40.0,1.0,272,3474.625,0.0,436.949
ours,4,40.0,50.0,1.0,272,3474.625,0.0,436.949
ours,5,50.0,60.0,1.0,272,3474.625,0.0,436.949
ours,6,60.0,70.0,1.0,272,3474.625,0.0,436.949
ours,7,70.0,80.0,1.0,272,3474.625,0.0,436.949
ours,8,80.0,90.0,1.0,272,3474.625,0.0,436.949
ours,9,90.0,100.0,1.0,272,3474.625,0.0,436.949
ours,10,100.0,110.0,1.0,272,3474.625,0.0,436.949
ours,11,110.0,120.0,1.0,272,3474.625,0.0,436.949
ours,12,120.0,130.0,1.0,272,3474.625,0.0,436.949
ours,13,130.0,140.0,1.0,272,3474.625,0.0,436.949
ours,14,140.0,150.0,0.804936,272,2798.717,48.681,350.237
ours,15,150.0,160.0,0.001603,272,75.925,395.431,0.69
ours,16,160.0,170.0,0.0,272,71.985,420.431,0.0
ours,17,170.0,180.0,0.0,272,71.985,420.431,0.0
ours,18,180.0,190.0,0.0,272,71.985,420.431,0.0
ours,19,190.0,200.0,0.000181,272,72.449,420.211,0.058
ours,20,200.0,210.0,0.162609,272,477.503,321.514,53.931
ours,21,210.0,220.0,0.358714,272,969.485,219.56,119.459
ours,22,220.0,230.0,0.477599,272,1269.352,161.02,158.291
ours,23,230.0,240.0,0.597931,272,1577.557,100.693,197.465
ours,24,240.0,250.0,0.744179,272,1965.662,37.57,246.653
ours,25,250.0,260.0,0.761029,272,2011.47,30.69,252.414
ours,26,260.0,270.0,0.763449,272,2020.36,30.69,253.627
ours,27,270.0,280.0,0.775975,272,2069.566,28.504,260.048
ours,28,280.0,290.0,0.804894,272,2176.812,21.224,273.744
ours,29,290.0,300.0,0.839022,272,2296.349,11.736,288.776
